Age,DisruptivePaper,Country,NumPapers,NumAuthors
7.942281247585025,0.2863830229897014,Turkey,19226,30464
8.053949660879812,0.26999740012132767,Taiwan,23078,45057
5.3985921668541925,0.2686441296432944,China,123323,278621
11.376947149334182,0.19405844656345658,Spain,45409,69147
12.815357153893903,0.21654454208050683,United States,419244,669939
8.971608201974778,0.38012684989429174,Pakistan,7095,8536
13.386212690441372,0.19103539530267946,Israel,12092,17373
13.35552632224656,0.18992821229801307,Netherlands,37193,47456
13.047510044885268,0.23733179909491384,United Kingdom,116453,148682
10.025309300641215,0.30175600739371533,Croatia,2164,3344
11.337519970272385,0.1724777405346879,Germany,86817,126310
11.637257593886655,0.17288012274014203,France,63223,101757
11.151497519433134,0.21047046338875133,Hong Kong,2827,3002
5.597682435059949,0.32113509367809795,Iran,18254,28633
11.519286319416636,0.18299675891298928,Austria,12033,15138
13.624916337109418,0.24313884935962593,Australia,49190,58458
13.373936385148731,0.19129287598944592,Iceland,758,789
14.051322285181184,0.19900597419549174,Belgium,19919,23737
8.572598476106224,0.3442789438050102,Romania,2954,3816
12.1228942232589,0.20313133771396122,Canada,61635,81936
9.243450505347443,0.2990954727369468,South Korea,43227,77708
13.915130779824459,0.1785301149070718,Denmark,12967,15441
10.400519184739375,0.23613543490951547,Greece,10278,14538
12.30321224435251,0.30827285921625547,Russia,20670,37234
9.328688400707984,0.2253062994687195,Singapore,9223,11855
11.35126375956214,0.18644805571677306,Argentina,6892,11989
13.91832566932643,0.20992356655333724,Japan,78238,152547
11.4274952402142,0.20164081528009228,Czechia,7801,11202
11.5124838822506,0.16774859206396975,Switzerland,23261,31832
9.37158069687828,0.31762652705061084,Tanzania,573,654
12.58227535248384,0.20861700058354407,Norway,10282,12830
11.562257266281012,0.27944162436548226,Poland,15760,22685
9.543604089977286,0.3433782538079979,India,45562,69082
13.530288607222419,0.18554914433131806,Italy,50779,84386
5.4838604184001305,0.5595954073264079,Nigeria,3658,5350
10.155889847726028,0.2727272727272727,Venezuela,891,1567
9.30525697657086,0.27310477001703576,Mexico,9392,16647
7.752732135986701,0.5953757225433526,Botswana,173,185
10.988950616147214,0.2505030181086519,Ethiopia,1988,2527
11.520614397391109,0.3098178137651822,South Africa,9880,11497
11.767286639116781,0.22202884137245152,Ireland,8044,10085
9.21466719016817,0.30684817335741077,Brazil,35995,73905
6.3401940480503365,0.4139908256880734,Ghana,872,1114
8.38845378237988,0.28888888888888886,Senegal,180,275
7.005158226870191,0.41731086047395766,Malaysia,7891,10662
11.18007968859108,0.2208655837784803,Portugal,9173,12215
11.228392081325923,0.2929913294797688,Ukraine,2768,4497
8.084519116282468,0.4246153846153846,Zimbabwe,325,391
13.817746253704954,0.18600612403455052,Sweden,21881,27058
12.8636449447351,0.1984808753051813,Finland,11059,15370
7.580139121931252,0.4114864864864865,Indonesia,1480,2201
9.568370301610438,0.30671358960476447,Serbia,3694,5901
12.9281107834268,0.21984642646190194,New Zealand,8465,9757
8.429345041681684,0.33738120380147835,Saudi Arabia,3788,3793
11.490585176031399,0.25266704098820886,Bulgaria,1781,2458
9.149261869902817,0.3160919540229885,Cyprus,870,823
8.494201084257034,0.28832796882940875,Thailand,5903,9400
9.928042391605828,0.19026265214606022,Estonia,1561,2197
9.099061034257593,0.3325434439178515,Philippines,1266,1608
9.927666875268033,0.2782152230971129,Cambodia,381,352
6.742804220999069,0.4642857142857143,Nepal,588,839
7.302178388728622,0.45216985534297716,Bangladesh,2143,3716
7.827955406256183,0.3388235294117647,Lithuania,1275,1916
7.576766386282342,0.3337851575737038,Colombia,2951,4731
7.958865620390498,0.3448402497245685,Egypt,5446,7992
8.49428601017561,0.3503709810387469,United Arab Emirates,1213,1085
7.859692469883688,0.253781512605042,Morocco,595,665
6.83051420353757,0.3440721649484536,Algeria,776,986
11.39415634162317,0.24932249322493225,Costa Rica,369,460
13.618905654261741,0.2084942084942085,Hungary,4921,7601
11.357163807349078,0.2447070408665682,Slovakia,2031,2840
10.585976644681908,0.22303977925959992,Chile,4349,7244
7.453425127320934,0.236096537250787,Tunisia,1906,2335
9.653662516318432,0.27204030226700254,Lebanon,794,1059
9.893515406981788,0.3567921440261866,Kenya,1222,1590
7.955187178092677,0.40214477211796246,Sri Lanka,746,932
9.977745216349518,0.27071823204419887,Montenegro,181,143
10.35956046176796,0.27532777115613827,Slovenia,2517,3080
10.748029771419409,0.15053763440860216,Guadeloupe,93,102
9.759754871554684,0.2729591836734694,Palestinian Territory,392,388
7.801052211171789,0.29753265602322204,Vietnam,689,853
5.608953744795732,0.3125,Ivory Coast,80,97
7.530773179746598,0.36070559610705594,Jordan,1644,2126
6.587352833890113,0.2580101180438449,Antigua and Barbuda,593,451
7.758577931160924,0.2736842105263158,Burkina Faso,95,125
6.467807553743725,0.44787644787644787,Bosnia and Herzegovina,259,391
13.469470892758109,0.10276679841897234,Panama,253,219
10.435606519580038,0.2833333333333333,DR Congo,60,89
8.125195664929526,0.38308457711442784,Oman,402,528
9.026011869429999,0.2996005326231691,Latvia,751,945
5.766672203635576,0.42857142857142855,Albania,98,108
6.633051519790729,0.35135135135135137,Yemen,222,222
9.998726936525488,0.35334476843910806,Jamaica,583,752
9.168891855807743,0.3287671232876712,Brunei,73,68
8.462141156698658,0.37212643678160917,Bahrain,696,767
10.541174793600728,0.18742138364779873,Benin,795,836
9.71567369558398,0.32154882154882153,Kuwait,594,759
9.644307319546996,0.19244604316546762,Uruguay,556,840
4.814273903603172,0.37,Syria,100,128
8.082603846901529,0.3843283582089552,Sudan,268,335
9.293826952841785,0.32018561484918795,Cuba,431,586
8.887246910248905,0.34893048128342247,Uganda,748,903
5.411130714272668,0.4444444444444444,Kosovo,90,101
9.857934734438492,0.43010752688172044,Fiji,93,93
8.27732096826604,0.27692307692307694,Bolivia,65,73
7.788000324214045,0.35023041474654376,Macao,217,231
10.610847396741892,0.2159090909090909,Papua New Guinea,88,133
4.723252059936843,0.32926829268292684,Libya,82,99
11.479425644427867,0.34101382488479265,Uzbekistan,217,351
8.420970538656412,0.27817745803357313,Qatar,417,497
9.450870507112283,0.3709677419354839,Guatemala,62,77
5.161033997723813,0.575,Iraq,400,486
8.66487642477873,0.176056338028169,Kyrgyzstan,284,701
10.627672498292911,0.23645320197044334,Mali,203,294
9.712472399841737,0.4140127388535032,North Macedonia,157,149
10.854565574732334,0.2193877551020408,Armenia,392,548
11.134773709589577,0.18629550321199143,Puerto Rico,467,638
9.31185812276877,0.2748091603053435,Ecuador,393,516
8.842486645371329,0.2875457875457875,Peru,546,779
6.5024943619255,0.375,Togo,64,100
6.039378716521573,0.4807692307692308,Namibia,52,58
10.689317194859647,0.25735294117647056,Moldova,136,198
11.393117547267115,0.30678466076696165,Belarus,678,1019
6.484853463005466,0.38943894389438943,Azerbaijan,303,454
10.023416920877107,0.3167420814479638,Malawi,221,240
8.672928381660967,0.13432835820895522,Gabon,67,96
7.807489678417987,0.23333333333333334,Laos,90,89
7.353717163411041,0.2976190476190476,El Salvador,84,113
7.647344805260102,0.3083511777301927,Cameroon,467,763
9.282578175722913,0.17037037037037037,Réunion,135,175
9.301949458082706,0.29219600725952816,Luxembourg,551,527
9.6008951053781,0.31938325991189426,Mozambique,454,527
9.6031669342035,0.22413793103448276,Mongolia,116,131
